Image,Image_size,Data Size (bytes),Ratio,PSNR,SSIM,Data Integrity,Images Match
steghide_images/human/rider-95.bmp,151310,1513,1,49.92512129576244,0.9974933811601457,True,True
steghide_images/human/rider-95.bmp,151310,3026,2,47.976749103846224,0.9959542282584541,True,True
steghide_images/human/rider-95.bmp,151310,4539,3,47.18561333616385,0.9952490926027168,True,True
steghide_images/human/rider-95.bmp,151310,6052,4,46.35288731706939,0.9944177053264068,True,True
steghide_images/human/rider-7.bmp,298830,2988,1,51.54067246766764,0.9965824690332553,True,True
steghide_images/human/rider-7.bmp,298830,5976,2,49.774546429334954,0.9948888951793943,True,True
steghide_images/human/rider-7.bmp,298830,8964,3,48.65540891688517,0.9934302108475408,True,True
steghide_images/human/rider-7.bmp,298830,11953,4,47.75136537059077,0.9918709948498469,True,True
steghide_images/human/rider-86.bmp,121974,1219,1,48.308530008777154,0.9962432540244506,True,True
steghide_images/human/rider-86.bmp,121974,2439,2,46.112820605907515,0.9934610528326339,True,True
steghide_images/human/rider-86.bmp,121974,3659,3,45.02705858547359,0.9917773988068616,True,True
steghide_images/human/rider-86.bmp,121974,4878,4,44.066941711746985,0.9899736213254066,True,True
steghide_images/human/rider-9.bmp,151854,1518,1,49.69470425162961,0.9959517291785742,True,True
steghide_images/human/rider-9.bmp,151854,3037,2,47.49530937834089,0.9934642534553871,True,True
steghide_images/human/rider-9.bmp,151854,4555,3,45.86531460664325,0.9903741698334513,True,True
steghide_images/human/rider-9.bmp,151854,6074,4,44.94533252407176,0.9879800219386822,True,True
steghide_images/human/rider-64.bmp,152154,1521,1,49.646555468978534,0.9966439901868065,True,True
steghide_images/human/rider-64.bmp,152154,3043,2,47.26103352552542,0.9943408944176837,True,True
steghide_images/human/rider-64.bmp,152154,4564,3,45.70309149503652,0.9918164768235508,True,True
steghide_images/human/rider-64.bmp,152154,6086,4,44.47084855620225,0.9894768404387899,True,True
steghide_images/human/rider-162.bmp,84726,847,1,48.65012570811444,0.9967006149095247,True,True
steghide_images/human/rider-162.bmp,84726,1694,2,46.2523961974143,0.9945158515396093,True,True
steghide_images/human/rider-162.bmp,84726,2541,3,45.04172090873571,0.9927528329452757,True,True
steghide_images/human/rider-162.bmp,84726,3389,4,44.15329145551215,0.9911641253590547,True,True
steghide_images/human/rider-137.bmp,151254,1512,1,50.817255835546,0.9953903036030377,True,True
steghide_images/human/rider-137.bmp,151254,3025,2,48.060237137126336,0.991554672471555,True,True
steghide_images/human/rider-137.bmp,151254,4537,3,46.36578043611255,0.9876814211264143,True,True
steghide_images/human/rider-137.bmp,151254,6050,4,45.18942320526633,0.9840931810957222,True,True
steghide_images/human/rider-163.bmp,151854,1518,1,49.78221544414332,0.9970676866897336,True,True
steghide_images/human/rider-163.bmp,151854,3037,2,48.044674984149964,0.99565082115534,True,True
steghide_images/human/rider-163.bmp,151854,4555,3,47.02354089353261,0.9943726943750884,True,True
steghide_images/human/rider-163.bmp,151854,6074,4,46.303557625495415,0.9934273196819928,True,True
steghide_images/human/rider-202.bmp,8003638,80036,1,56.44350357369188,0.9983209366542555,True,True
steghide_images/human/rider-202.bmp,8003638,160072,2,53.70480694639609,0.9968837352192829,True,True
steghide_images/human/rider-202.bmp,8003638,240109,3,52.03779060133597,0.9954711611215671,True,True
steghide_images/human/rider-202.bmp,8003638,320145,4,50.86566913002031,0.9941195611846986,True,True
steghide_images/human/rider-48.bmp,151542,1515,1,63.22748997557083,0.9998783587254825,True,True
steghide_images/human/rider-48.bmp,151542,3030,2,60.2792764915802,0.999762736744387,True,True
steghide_images/human/rider-48.bmp,151542,4546,3,58.5219700215879,0.9996475545462061,True,True
steghide_images/human/rider-48.bmp,151542,6061,4,57.32386141390058,0.9995286143760369,True,True
steghide_images/human/rider-169.bmp,151254,1512,1,48.671159827760306,0.9970921300686283,True,True
steghide_images/human/rider-169.bmp,151254,3025,2,46.54811682390942,0.9950641016361302,True,True
steghide_images/human/rider-169.bmp,151254,4537,3,45.321365184655534,0.9934625669208264,True,True
steghide_images/human/rider-169.bmp,151254,6050,4,44.48709518158846,0.9919650727398329,True,True
steghide_images/human/rider-59.bmp,151206,1512,1,49.865805281560284,0.9950864944941449,True,True
steghide_images/human/rider-59.bmp,151206,3024,2,47.81683656973292,0.9921888498558165,True,True
steghide_images/human/rider-59.bmp,151206,4536,3,46.2633289107585,0.9889800769178166,True,True
steghide_images/human/rider-59.bmp,151206,6048,4,45.07601051959529,0.9857850894048766,True,True
steghide_images/human/rider-180.bmp,152154,1521,1,49.12751451178018,0.9973654919044312,True,True
steghide_images/human/rider-180.bmp,152154,3043,2,47.11894701006335,0.9957126394079355,True,True
steghide_images/human/rider-180.bmp,152154,4564,3,45.82866154388942,0.9941775333180801,True,True
steghide_images/human/rider-180.bmp,152154,6086,4,45.07861372053375,0.9930838735327776,True,True
steghide_images/human/rider-117.bmp,151438,1514,1,49.30474297349927,0.9933334918667063,True,True
steghide_images/human/rider-117.bmp,151438,3028,2,46.26620816485162,0.9869531148476244,True,True
steghide_images/human/rider-117.bmp,151438,4543,3,44.76179023880608,0.9821608067217253,True,True
steghide_images/human/rider-117.bmp,151438,6057,4,43.49233034393222,0.9771026440345206,True,True
steghide_images/human/rider-173.bmp,151254,1512,1,49.493052478537926,0.9944334731857737,True,True
steghide_images/human/rider-173.bmp,151254,3025,2,47.05746988839607,0.9903864969903288,True,True
steghide_images/human/rider-173.bmp,151254,4537,3,45.66311241195496,0.986615085475373,True,True
steghide_images/human/rider-173.bmp,151254,6050,4,44.59369907354905,0.9832585570034426,True,True
steghide_images/human/rider-195.bmp,143874,1438,1,51.04004129087748,0.9975403680036522,True,True
steghide_images/human/rider-195.bmp,143874,2877,2,49.09405699086595,0.9961253936454278,True,True
steghide_images/human/rider-195.bmp,143874,4316,3,47.838953085311815,0.9948423727200856,True,True
steghide_images/human/rider-195.bmp,143874,5754,4,46.91565848911371,0.9937023599949127,True,True
steghide_images/human/rider-36.bmp,152154,1521,1,49.56845411783094,0.996540944651977,True,True
steghide_images/human/rider-36.bmp,152154,3043,2,47.77093236075086,0.9947351480914753,True,True
steghide_images/human/rider-36.bmp,152154,4564,3,46.82647578429098,0.9935783121145562,True,True
steghide_images/human/rider-36.bmp,152154,6086,4,46.06211416077586,0.9923552211094049,True,True
steghide_images/human/rider-1.bmp,124150,1241,1,48.85800696351378,0.9949668504911032,True,True
steghide_images/human/rider-1.bmp,124150,2483,2,46.7838459297525,0.9921211595563996,True,True
steghide_images/human/rider-1.bmp,124150,3724,3,45.60276339603859,0.9899821084262163,True,True
steghide_images/human/rider-1.bmp,124150,4966,4,44.51655647649507,0.9870423493288998,True,True
steghide_images/human/rider-197.bmp,146694,1466,1,49.7066452177809,0.9945315510307449,True,True
steghide_images/human/rider-197.bmp,146694,2933,2,46.898687267446434,0.9900705903281425,True,True
steghide_images/human/rider-197.bmp,146694,4400,3,44.861634579460244,0.9847576082580826,True,True
steghide_images/human/rider-197.bmp,146694,5867,4,43.76466867791956,0.9806471696306565,True,True
steghide_images/human/rider-196.bmp,151854,1518,1,49.66663145721688,0.9970014422375558,True,True
steghide_images/human/rider-196.bmp,151854,3037,2,48.0416585117505,0.99550621371442,True,True
steghide_images/human/rider-196.bmp,151854,4555,3,46.99253194431455,0.9944631821316617,True,True
steghide_images/human/rider-196.bmp,151854,6074,4,46.39048828735309,0.9934885572909407,True,True
steghide_images/human/rider-174.bmp,151854,1518,1,47.69398975757875,0.9983123792850211,True,True
steghide_images/human/rider-174.bmp,151854,3037,2,45.82960680986617,0.997345265643971,True,True
steghide_images/human/rider-174.bmp,151854,4555,3,45.03051319111109,0.9967357592802184,True,True
steghide_images/human/rider-174.bmp,151854,6074,4,44.447868542955874,0.9963580046865738,True,True
steghide_images/human/rider-184.bmp,151814,1518,1,50.21152882482319,0.9975280959538696,True,True
steghide_images/human/rider-184.bmp,151814,3036,2,47.65298544407736,0.9954580616426121,True,True
steghide_images/human/rider-184.bmp,151814,4554,3,46.47461120070881,0.9942523922612994,True,True
steghide_images/human/rider-184.bmp,151814,6072,4,45.38131666603212,0.9928187762423454,True,True
steghide_images/human/rider-166.bmp,142182,1421,1,49.65568958088138,0.9927607997642922,True,True
steghide_images/human/rider-166.bmp,142182,2843,2,46.67127405995408,0.9855546282601955,True,True
steghide_images/human/rider-166.bmp,142182,4265,3,45.075317194213376,0.9797113345091452,True,True
steghide_images/human/rider-166.bmp,142182,5687,4,43.788364217309066,0.9737416550326671,True,True
steghide_images/human/rider-40.bmp,151814,1518,1,50.248645251976576,0.9975205049153005,True,True
steghide_images/human/rider-40.bmp,151814,3036,2,48.04258821806931,0.9959622818030206,True,True
steghide_images/human/rider-40.bmp,151814,4554,3,46.444062536120505,0.9942860314092608,True,True
steghide_images/human/rider-40.bmp,151814,6072,4,45.40889742176003,0.9928462320317126,True,True
steghide_images/human/rider-200.bmp,270054,2700,1,51.46853671597205,0.9973446532169215,True,True
steghide_images/human/rider-200.bmp,270054,5401,2,49.885013936542606,0.9961644078897242,True,True
steghide_images/human/rider-200.bmp,270054,8101,3,48.780828139733494,0.9949997745705089,True,True
steghide_images/human/rider-200.bmp,270054,10802,4,48.04012084675691,0.9940768524957946,True,True
steghide_images/human/rider-114.bmp,115254,1152,1,48.12485122022306,0.9968966724472216,True,True
steghide_images/human/rider-114.bmp,115254,2305,2,46.20429677280114,0.9955784216834811,True,True
steghide_images/human/rider-114.bmp,115254,3457,3,45.22085965232941,0.9944166397854838,True,True
steghide_images/human/rider-114.bmp,115254,4610,4,44.36714126778776,0.9931299902176086,True,True
